service_id,date,exception_type
21297083176-20170705140526_v55.10,20170717,2
21297083176-20170705140526_v55.10,20170714,2
21297083176-20170705140526_v55.10,20170720,2
21297083176-20170705140526_v55.10,20170713,2
21297083176-20170705140526_v55.10,20170721,2
21297083176-20170705140526_v55.10,20170718,2
21297083176-20170705140526_v55.10,20170719,2
18139083175-20170705140526_v55.10,20170717,2
18139083175-20170705140526_v55.10,20170714,2
18139083175-20170705140526_v55.10,20170720,2
18139083175-20170705140526_v55.10,20170713,2
18139083175-20170705140526_v55.10,20170721,2
18139083175-20170705140526_v55.10,20170718,2
18139083175-20170705140526_v55.10,20170719,2
14099069369-20170705140526_v55.10,20170717,2
14099069369-20170705140526_v55.10,20170714,2
14099069369-20170705140526_v55.10,20170720,2
14099069369-20170705140526_v55.10,20170713,2
14099069369-20170705140526_v55.10,20170721,2
14099069369-20170705140526_v55.10,20170718,2
14099069369-20170705140526_v55.10,20170719,2
17000070497-20170602141618_v54.27,20170616,2
17000070593-20170602141618_v54.27,20170708,2
17000070593-20170602141618_v54.27,20170624,2
17000083856-20170602141618_v54.27,20170708,1
17000083856-20170602141618_v54.27,20170624,1
21040043103-20170602141618_v54.27,20170712,2
21040043103-20170602141618_v54.27,20170710,2
21040043103-20170602141618_v54.27,20170711,2
18047043097-20170705140526_v55.10,20170717,2
18047043097-20170705140526_v55.10,20170714,2
18047043097-20170705140526_v55.10,20170720,2
18047043097-20170705140526_v55.10,20170713,2
18047043097-20170705140526_v55.10,20170721,2
18047043097-20170705140526_v55.10,20170718,2
18047043097-20170705140526_v55.10,20170719,2
1023073064-20170705140526_v55.10,20170717,2
1023073064-20170705140526_v55.10,20170714,2
1023073064-20170705140526_v55.10,20170720,2
1023073064-20170705140526_v55.10,20170713,2
1023073064-20170705140526_v55.10,20170721,2
1023073064-20170705140526_v55.10,20170718,2
1023073064-20170705140526_v55.10,20170719,2
14771064338-20170602141618_v54.27,20170712,2
14771064338-20170602141618_v54.27,20170710,2
14771064338-20170602141618_v54.27,20170711,2
14066080593-20170705140526_v55.10,20170717,2
14066080593-20170705140526_v55.10,20170714,2
14066080593-20170705140526_v55.10,20170720,2
14066080593-20170705140526_v55.10,20170713,2
14066080593-20170705140526_v55.10,20170721,2
14066080593-20170705140526_v55.10,20170718,2
14066080593-20170705140526_v55.10,20170719,2
17000070408-20170602141618_v54.27,20170616,2
21203083170-20170602141618_v54.27,20170712,2
21203083170-20170602141618_v54.27,20170710,2
21203083170-20170602141618_v54.27,20170711,2
18309043229-20170705140526_v55.10,20170717,2
18309043229-20170705140526_v55.10,20170714,2
18309043229-20170705140526_v55.10,20170720,2
18309043229-20170705140526_v55.10,20170713,2
18309043229-20170705140526_v55.10,20170721,2
18309043229-20170705140526_v55.10,20170718,2
18309043229-20170705140526_v55.10,20170719,2
18267043183-20170602141618_v54.27,20170712,2
18267043183-20170602141618_v54.27,20170710,2
18267043183-20170602141618_v54.27,20170711,2
50051083998-20170602141618_v54.27,20170616,1
50051071274-20170602141618_v54.27,20170616,2
18231080628-20170705140526_v55.10,20170717,2
18231080628-20170705140526_v55.10,20170714,2
18231080628-20170705140526_v55.10,20170720,2
18231080628-20170705140526_v55.10,20170713,2
18231080628-20170705140526_v55.10,20170721,2
18231080628-20170705140526_v55.10,20170718,2
18231080628-20170705140526_v55.10,20170719,2
17000083834-20170602141618_v54.27,20170708,1
17000083834-20170602141618_v54.27,20170624,1
21207083144-20170602141618_v54.27,20170712,2
21207083144-20170602141618_v54.27,20170710,2
21207083144-20170602141618_v54.27,20170711,2
23100083943-20170602141618_v54.27,20170616,1
18016070009-20170705140526_v55.10,20170717,2
18016070009-20170705140526_v55.10,20170714,2
18016070009-20170705140526_v55.10,20170720,2
18016070009-20170705140526_v55.10,20170713,2
18016070009-20170705140526_v55.10,20170721,2
18016070009-20170705140526_v55.10,20170718,2
18016070009-20170705140526_v55.10,20170719,2
23100083961-20170602141618_v54.27,20170616,1
21051069368-20170602141618_v54.27,20170712,2
21051069368-20170602141618_v54.27,20170710,2
21051069368-20170602141618_v54.27,20170711,2
18292043256-20170602141618_v54.27,20170712,2
18292043256-20170602141618_v54.27,20170710,2
18292043256-20170602141618_v54.27,20170711,2
