service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
14797028766-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1135083156-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
2366079568-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,1
3945068626-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3555068391-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
1981053465-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14277052701-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
14302054466-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
18086081875-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14274069467-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
13221081426-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,1
14274053038-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14390058943-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
14625064075-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
7007080283-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
2376074970-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1981053605-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
2368074792-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
12858065957-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
14313073947-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
12882066390-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14246081884-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1095078201-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
14274053073-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
23500072549-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14249082054-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
18028072658-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
3905041672-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
14731045662-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
3803068466-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
14258044176-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
1094078080-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,1,1
5500034668-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
23100071088-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
23100071212-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
13154082880-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14595039992-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
3100034364-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1084078540-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
3911041714-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
